Text                     ,HR                       ,"Veloc, Vento",Pisc_scobert,Pisc_scobert_50m2,50m2_Ts_colect   ,PavCol_scobert,Pisc_ccobert_50m2
13.55,81.875,0.001,15.0400972,15.95643099,13.55,15.03739555,17.33929703
13.15,83.3125,0.001,15.00842138,15.92126909,13.15,15.00572989,17.32644553
12.75,84.8125,0.001,14.97593553,15.88531335,12.75,14.97325416,17.3131158
12.35,86.3125,0.001,14.94261585,15.84853997,12.35,14.93994454,17.29930194
11.95,87.8125,0.001,14.90843803,15.81092464,11.95,14.90577675,17.28499792
11.55,88.875,0.001,14.87330421,15.77236946,11.55,14.8706529,17.2701793
11.15,89.875,0.001,14.83333597,15.72829562,11.15,14.83069666,17.24915208
10.70625,91.75,0.001,14.7811292,15.66991779,10.70625,14.77850798,17.21066408
10.25625,93.75,0.001,14.72814841,15.61081315,10.25625,14.72554513,17.1717767
9.89375,94.875,0.001,14.68911156,15.56844613,9.89375,14.68651799,17.15488235
9.54375,95.875,0.001,14.64913762,15.52515799,9.54375,14.64655372,17.13751142
9.19375,96.875,0.001,14.60821275,15.48093489,9.19375,14.60563848,17.11966037
8.84375,97.875,0.001,14.56632504,15.43576489,8.84375,14.56376035,17.10132619
8.58125,98,0.001,14.52352243,15.3896959,8.58125,14.52096727,17.08255419
8.33125,98,0.001,14.47985755,15.34278056,8.33125,14.47731187,17.06339084
8.16875,98,0.001,14.43550467,15.29519309,8.16875,14.43296843,17.04391303
8.01875,98,0.001,14.39063679,15.24710646,8.01875,14.38810995,17.02419735
8,98,0.001,14.34556182,15.19878032,8,14.34304432,17.00435884
8,98,0.001,14.3004834,15.15047385,8,14.29797521,16.98451245
8.21875,98,0.001,14.25580086,15.10262288,8.21875,14.25330193,16.96485078
8.46875,98,0.001,14.21195146,15.05566725,8.46875,14.20946174,16.94556756
9.2,95.8125,0.001,14.17171352,15.03002716,17.59814508,14.1692329,16.94306168
10,93.3125,0.001,14.15889519,15.11135771,19.52805912,14.15642322,17.0264799
11.10625,89.5,0.001,14.14368014,15.11001195,16.88206549,14.14121711,17.01655803
12.25625,85.5,0.001,14.15293507,15.19016322,18.93702629,14.15048074,17.08699177
13.5375,80.625,0.001,14.16271758,15.23543302,17.58015549,14.16027204,17.11067649
14.8375,75.625,0.001,14.19195118,15.33772722,18.84837649,14.18951427,17.20339086
16.00625,71.5,0.001,14.22275027,15.4305453,18.28027794,14.22032201,17.28666021
17.15625,67.5,0.001,14.26577476,15.55007024,18.9837494,14.26335505,17.39666714
18,64.375,0.001,14.30928982,15.6636205,18.6776401,14.30687867,17.50072712
18.8,61.375,0.001,14.35625168,15.7827706,18.87254047,14.35384906,17.61041517
19.1625,60.125,0.001,14.40187228,15.89623583,18.67821847,14.3994782,17.71444611
19.4625,59.125,0.001,14.44242548,15.99584444,18.43110423,14.44003995,17.80464999
19.45625,59,0.001,14.47985577,16.08899431,18.27859624,14.47669467,17.88842653
19.40625,59,0.001,14.50538565,16.13224142,25.60966404,14.50135919,17.9217628
19.26875,59.4375,0.001,14.52683261,16.17036135,25.36952626,14.52286315,17.94933386
19.11875,59.9375,0.001,14.5334905,16.18553734,24.53159591,14.52974063,17.95475137
18.88125,60.4375,0.001,14.53591433,16.19496707,30.36313583,14.53221562,17.95405758
18.63125,60.9375,0.001,14.52429247,16.18332868,21.45256083,14.52022628,17.93311354
18.3375,61.875,0.001,14.51048055,16.16870252,20.59168394,14.5060033,17.90936648
18.0375,62.875,0.001,14.49065972,16.14391387,18.0375,14.48619907,17.87637285
17.65,64.3125,0.001,14.46974308,16.11673508,17.65,14.46529898,17.84234353
17.25,65.8125,0.001,14.4482042,16.08896158,17.25,14.44377657,17.80775201
16.80625,67.3125,0.001,14.42593324,16.06048349,16.80625,14.42152203,17.77248833
16.35625,68.8125,0.001,14.40281915,16.03118973,16.35625,14.39842427,17.73644138
15.8625,70.75,0.001,14.37884865,16.00106703,15.8625,14.37447005,17.69959783
15.3625,72.75,0.001,14.35399895,15.97009257,15.3625,14.34963654,17.66866972
14.81875,74.3125,0.001,14.32805192,15.93804823,14.81875,14.32370564,17.65721349
14.26875,75.8125,0.001,14.30079921,15.90472571,14.26875,14.29646899,17.64505843
13.7625,77.75,0.001,14.27240423,15.87028844,13.7625,14.26809,17.63226206
13.2625,79.75,0.001,14.24301956,15.83488904,13.2625,14.23872125,17.61887932
12.71875,81.3125,0.001,14.21243914,15.79832144,12.71875,14.20815667,17.60484204
12.16875,82.8125,0.001,14.18046688,15.76038961,12.16875,14.17620019,17.59008447
11.18125,86.5,0.001,14.14653861,15.72052944,11.18125,14.14228763,17.5742984
10.13125,90.5,0.001,14.10684826,15.67370881,10.13125,14.10261623,17.55126225
9.69375,91.875,0.001,14.05590989,15.61202348,9.69375,14.05170658,17.50970603
9.34375,92.875,0.001,14.00429916,15.54974769,9.34375,14.00012436,17.4678606
9.0375,93.875,0.001,13.9645246,15.50419891,9.0375,13.9603651,17.44903442
8.7375,94.875,0.001,13.92401456,15.45794238,8.7375,13.91987029,17.42981883
8.48125,95.875,0.001,13.88284079,15.41104976,8.48125,13.87871168,17.41024846
8.23125,96.875,0.001,13.8410755,15.36359321,8.23125,13.83696147,17.39035809
8.025,97.4375,0.001,13.7987331,15.31558705,8.025,13.79463409,17.37016806
7.825,97.9375,0.001,13.7558316,15.26704921,7.825,13.75174755,17.34969956
7.7125,98,0.001,13.71253884,15.21808801,7.7125,13.70846966,17.3290131
7.6125,98,0.001,13.66892651,15.16881335,7.6125,13.66487214,17.30816959
7.55625,98,0.001,13.62503826,15.11930733,7.55625,13.62099863,17.28720626
7.50625,98,0.001,13.58097322,15.06965372,7.50625,13.57694825,17.26616082
7.71875,97.5625,0.001,13.53713281,15.02031214,7.71875,13.53312244,17.24524847
7.96875,97.0625,0.001,13.49403739,14.97174337,7.96875,13.49004155,17.22468482
8.525,94.8125,0.001,13.45454377,14.95477985,17.90964724,13.4505623,17.23197432
9.125,92.3125,0.001,13.44125809,15.03234481,19.39776286,13.43729054,17.31154104
9.9875,89.375,0.001,13.43952579,15.11270455,19.75082331,13.43557216,17.38025976
10.8875,86.375,0.001,13.47563204,15.28750006,21.96910432,13.47169199,17.54344889
11.875,82.5,0.001,13.50966724,15.4371809,21.07819618,13.50574084,17.6815463
12.875,78.5,0.001,13.57290849,15.66547658,22.91080948,13.56899547,17.89827879
13.7875,75.375,0.001,13.63603931,15.87357061,22.37123725,13.63213973,18.09482023
14.6875,72.375,0.001,13.71703411,16.12758911,23.74346265,13.71314781,18.337296
15.325,69.8125,0.001,13.79682368,16.36510094,23.05817718,13.79115861,18.56326926
15.925,67.3125,0.001,13.88071879,16.60981108,23.40935938,13.87747141,18.79644727
16.21875,66.5625,0.001,13.96134169,16.84054172,22.93129011,13.96269901,19.01565195
16.46875,66.0625,0.001,14.03318319,17.04236261,22.33288065,14.04080551,19.2059581
16.45625,66,0.001,14.09967466,17.23141267,21.979119,14.11477473,19.38350956
16.40625,66,0.001,14.14670601,17.36308469,20.676581,14.16996307,19.5037066
16.3125,66.4375,0.001,14.18718469,17.48378324,20.42500224,14.21877403,19.6129627
16.2125,66.9375,0.001,14.20357686,17.52498729,18.90303797,14.24319681,19.63306505
16.025,67.875,0.001,14.21351087,17.55859332,18.6586125,14.26040817,19.64651282
15.825,68.875,0.001,14.20101895,17.53792592,17.75690375,14.25410049,19.61816037
15.58125,69.4375,0.001,14.18548725,17.51420877,17.69205996,14.24338487,19.58760161
15.33125,69.9375,0.001,14.15996561,17.4759045,15.33125,14.22051634,19.54076316
15.0375,71.3125,0.001,14.1330504,17.4362664,15.0375,14.19337815,19.49263573
14.7375,72.8125,0.001,14.10584816,17.39640082,14.7375,14.16595389,19.44432552
